0	0	0.25	width	Front left	x	y	Front right	x	y
0.2724	7.693401	-0.105039			-2.6586424466	8.5051830991		3.3082884005	7.8761073754
0.282096	7.792929	-0.089188			-2.6614452551	8.5581511111		3.3147070612	8.0237322749
0.290198	7.892599	-0.073045			-2.6653121693	8.6102058835		3.3186882305	8.1723255164
0.296679	7.992388	-0.056673			-2.6701832122	8.6615132603		3.3201838797	8.321657255
0.301518	8.09227	-0.040138			-2.6760021241	8.7122489596		3.3191653476	8.471485619
0.3047	8.192218	-0.023504			-2.6827204631	8.7625854048		3.3156222991	8.6215743889
0.309251	8.49218	-0.006838			-2.6872598896	9.0126821506		3.3125998363	8.9716544704
0.309103	8.592179	0.009796			-2.6956509804	9.0627674798		3.3040611371	9.1215425398
0.307297	8.692161	0.026331			-2.7048270565	9.1130038072		3.293093099	9.270971552
0.303846	8.7921	0.042703			-2.7147641077	9.1635741146		3.279766085	9.4197142508
0.29877	8.89197	0.058846			-2.7254432429	9.2146684067		3.2641711995	9.567540667
0.292098	8.991747	0.074697			-2.7368502059	9.2664700711		3.2464186503	9.7142354049
0.283863	9.091406	0.090193			-2.7489784869	9.3191613848		3.2266337205	9.8595859832
0.274105	9.190928	0.105274			-2.7618262527	9.3729209366		3.2049565968	10.0033988717
0.262872	9.290294	0.119879			-2.7753933796	9.4279293272		3.181545303	10.1454817866
0.250214	9.389489	0.133951			-2.7896873045	9.4843576407		3.1565645228	10.2856623306
0.236192	9.4885	0.147434			-2.80471207	9.5423742702		3.1301956133	10.4237770104
0.220867	9.587318	0.160276			-2.8204781595	9.6021376112		3.1026214842	10.5596816628
0.204308	9.685937	0.172426			-2.8369927306	9.6638040828		3.0740358531	10.6932413478
0.18659	9.784354	0.183835			-2.8542602879	9.727525076		3.0446389997	10.8243328053
0.167787	9.88257	0.194459			-2.8722879409	9.7934388973		3.0146261811	10.9528534564
0.147984	9.980589	0.204255			-2.8910719625	9.861682076		2.9842022595	11.0787082943
0.127263	10.078419	0.213186			-2.910609818	9.9323753702		2.9535609749	11.2018244286
0.105713	10.176069	0.221215			-2.9308893288	10.0056392587		2.9229001517	11.3221303214
0.083426	10.273553	0.228311			-2.9518905185	10.0815800002		2.8924098419	11.4395760598
0.060494	10.370888	0.234446			-2.9735876497	10.160297063		2.8622714729	11.5541221241
0.037013	10.468092	0.239597			-2.9959436494	10.2418753713		2.8326584914	11.6657423189
0.013081	10.565186	0.243742			-3.0189119295	10.3263997453		2.8037382291	11.7744139478
-0.011204	10.662192	0.246865			-3.0424364155	10.4139380112		2.7756632075	11.8801292593
-0.035742	10.759135	0.248953			-3.0664494539	10.5045523437		2.7485760814	11.9828885789
-0.060432	10.856039	0.25			-3.0908712448	10.5982833331		2.7226032855	12.0827070886
-0.085172	10.952931	0.25			-3.1156112448	10.6951753331		2.6978632855	12.1795990886
-0.109862	11.049835	0.248953			-3.1405694539	10.7952523437		2.6744560814	12.2735885789
-0.1344	11.146778	0.246865			-3.1656324155	10.8985240112		2.6524672075	12.3647152593
-0.158685	11.243784	0.243742			-3.1906779295	11.0049977453		2.6319722291	12.4530119478
-0.182617	11.340878	0.239597			-3.2155736494	11.1146613713		2.6130284914	12.5385283189
-0.206098	11.438082	0.234446			-3.2401796497	11.227491063		2.5956794729	12.6213161241
-0.22903	11.535417	0.228311			-3.2643465185	11.3434440002		2.5799538419	12.7014400598
-0.251317	11.632901	0.221215			-3.2879193288	11.4624712587		2.5658701517	12.7789623214
-0.272867	11.730552	0.213186			-3.310739818	11.5845083702		2.5534309749	12.8539574286
-0.293587	11.828381	0.204255			-3.3326429625	11.709474076		2.5426312595	12.9265002943
-0.313391	11.9264	0.194459			-3.3534659409	11.8372688973		2.5334481811	12.9966834564
-0.332193	12.024616	0.183835			-3.3730432879	11.967787076		2.5258559997	13.0645948053
-0.349912	12.123033	0.172426			-3.3912127306	12.1009000828		2.5198158531	13.1303373478
-0.366471	12.221652	0.160276			-3.4078161595	12.2364716112		2.5152834842	13.1940156628
-0.381795	12.32047	0.147434			-3.42269907	12.3743442702		2.5122086133	13.2557470104
-0.395818	12.419481	0.133951			-3.4357193045	12.5143496407		2.5105325228	13.3156543306
-0.408475	12.518676	0.119879			-3.4467403796	12.6563113272		2.510198303	13.3738637866
-0.419709	12.618042	0.105274			-3.4556402527	12.8000349366		2.5111425968	13.4305128717
-0.429467	12.717564	0.090193			-3.4623084869	12.9453193848		2.5133037205	13.4857439832
-0.437702	12.817223	0.074697			-3.4666502059	13.0919460711		2.5166186503	13.5397114049
-0.444374	12.917	0.058846			-3.4685872429	13.2396984067		2.5210271995	13.592570667
-0.449449	13.01687	0.042703			-3.4680591077	13.3883441146		2.526471085	13.6444842508
-0.4529	13.116809	0.026331			-3.4650240565	13.5376518072		2.532896099	13.695619552
-0.454707	13.216791	0.009796			-3.4594609804	13.6873794798		2.5402511371	13.7461545398
-0.454854	13.31679	-0.006838			-3.4513648896	13.8372921506		2.5484948363	13.7962644704
