FLX	FLY	FRX	FRY
-0.638195409	8.381364264	4.698106878	5.638395451
-0.612109427	8.444523261	4.753032462	5.758401054
-0.588115858	8.506028741	4.80732216	5.881290928
-0.56614252	8.565966691	4.86078704	6.006975569
-0.546106748	8.624437011	4.913236982	6.135347611
-0.52792002	8.681542101	4.964486862	6.266285046
-0.511493787	8.737387117	5.014355674	6.399655793
-0.496728342	8.792082784	5.062675389	6.535308504
-0.483523156	8.8457584	5.109279331	6.673073348
-0.47177633	8.898536266	5.154021263	6.812774666
-0.461387706	8.95055097	5.196763171	6.954222177
-0.452254731	9.001944141	5.237384251	7.097211023
-0.444280412	9.052861234	5.275778952	7.241529993
-0.437366985	9.103459583	5.311859445	7.386952822
-0.431423641	9.153893714	5.345558487	7.533252641
-0.37394633	9.397338657	5.429241877	7.873197377
-0.369686003	9.447942055	5.458050777	8.020537408
-0.366148237	9.498887241	5.484392951	8.168034957
-0.363264663	9.550344976	5.508280187	8.315451832
-0.360969913	9.602492825	5.529743915	8.462540813
-0.359206966	9.655505375	5.548835468	8.609066364
-0.357922206	9.709559013	5.565625875	8.754793
-0.357069729	9.764825629	5.580203029	8.899497831
-0.356606542	9.821481462	5.592670663	9.042956738
-0.356494257	9.879691023	5.603148954	9.184958846
-0.356700019	9.939622156	5.611768285	9.325304561
-0.357189673	10.00142774	5.618675336	9.463805762
-0.357933827	10.06526298	5.624022048	9.600285662
-0.358900317	10.13127515	5.627971052	9.734574745
-0.360059761	10.19960034	5.63068821	9.866525651
-0.361377116	10.27036908	5.632346163	9.995994798
-0.362817481	10.34369828	5.633117166	10.12286417
-0.364339709	10.41970095	5.633174734	10.2470148
-0.365900759	10.4984773	5.632688058	10.3683535
-0.367448431	10.58011564	5.631825803	10.4867954
-0.368926262	10.66468838	5.630749074	10.60227151
-0.370269277	10.75226809	5.629613236	10.71472033
-0.37140476	10.84290553	5.628565755	10.82409556
-0.372252856	10.93664273	5.627743856	10.93036073
-0.372726	11.033502	5.627274	11.033502
-0.372726	11.133502	5.627274	11.133502
-0.372148856	11.23664273	5.627847856	11.23036073
-0.37088176	11.34290453	5.629088755	11.32409456
-0.368807277	11.45226509	5.631075236	11.41471733
-0.365798262	11.56467938	5.633877074	11.50226251
-0.361724431	11.68008864	5.637549803	11.5867684
-0.356452759	11.7984153	5.642136058	11.6682915
-0.349844709	11.91957495	5.647669734	11.7468888
-0.341763481	12.04346328	5.654171166	11.82262917
-0.332069116	12.16996408	5.661654163	11.8955898
-0.320627761	12.29893734	5.67012021	11.96586265
-0.307306317	12.43024215	5.679565052	12.03354174
-0.291977827	12.56371198	5.689978048	12.09873466
-0.274523673	12.69917674	5.701341336	12.16155476
-0.254834019	12.83644516	5.713634285	12.22212756
-0.232811257	12.97532002	5.726831954	12.28058785
-0.208368542	13.11559446	5.740908663	12.33706974
-0.181433729	13.25705263	5.755839029	12.39172483
-0.151950206	13.39947001	5.771597875	12.444704
-0.119880966	13.54261237	5.788161468	12.49617336
-0.085203913	13.68624982	5.805509915	12.54629781
-0.047916663	13.83014398	5.823628187	12.59525083
-0.008036237	13.97405924	5.842504951	12.64320696
0.034397997	14.11775705	5.862134777	12.69035241
0.07932967	14.26100566	5.882517877	12.73686438
0.126682359	14.40357571	5.903664487	12.78293464
0.176359015	14.54524958	5.925585445	12.82874282
0.228243588	14.68581023	5.948302952	12.87447899
0.282205269	14.82505914	5.971844251	12.92032602
0.338092294	14.96279997	5.996243171	12.96647118
0.39573967	15.09885527	6.021537263	13.01309367
0.454967844	15.2330574	6.047770331	13.06037235
0.515587658	15.36525578	6.074991389	13.1084815
0.577400213	15.49531712	6.103249674	13.15758579
0.64018998	15.6231131	6.132596862	13.20785605
0.703745252	15.74854001	6.163088982	13.25945061
0.76784548	15.87150969	6.19477504	13.31251857
0.832268142	15.99194674	6.22770616	13.36720893
0.896788573	16.10978626	6.261930462	13.42366405
0.961188591	16.22498626	6.297490878	13.48201745
1.025247621	16.33750977	6.334424176	13.54239899
1.088755042	16.44733857	6.372759901	13.60492891
1.151507578	16.55446758	6.412517775	13.66971946
1.213302737	16.6588923	6.45371048	13.73688499
1.273957808	16.76062757	6.496340528	13.80652555
1.333298137	16.85969734	6.540395063	13.87873414
1.39115801	16.95612382	6.585854148	13.95360287
1.447386802	17.04994449	6.63268075	14.03121517
1.501847697	17.14119744	6.68082724	14.11164782
1.554424813	17.22993324	6.730229579	14.19496289
1.605006813	17.31619724	6.780811579	14.28122689
1.653505697	17.40004144	6.83248524	14.37049182
1.699848802	17.48152549	6.88514275	14.46279617
1.74397501	17.56070582	6.938671148	14.55818487
1.785840137	17.63764134	6.992937063	14.65667814
1.825417808	17.71239757	7.047800528	14.75829555
1.862698737	17.7850423	7.10310648	14.86303499
1.897682578	17.85564158	7.158692775	14.97089346
1.930383042	17.92426457	7.214387901	15.08185491
1.960835621	17.99098977	7.270012176	15.19587899
1.989078591	18.05589226	7.325380878	15.31292345
2.015164573	18.11905126	7.380306462	15.43292905
2.039158142	18.18055674	7.43459616	15.55581893
2.06113248	18.24049469	7.48806204	15.68150357
2.081167252	18.29896601	7.540510982	15.80987661
2.09935398	18.3560711	7.591760862	15.94081405
2.115780213	18.41191512	7.641629674	16.07418379
2.130545658	18.46661178	7.689949389	16.2098375
2.143751844	18.5202864	7.736554331	16.34760135
2.15549767	18.57306527	7.781295263	16.48730367
2.165886294	18.62507997	7.824037171	16.62875118
2.175019269	18.67647314	7.864658251	16.77174002
2.182993588	18.72738923	7.903052952	16.91605799
2.189907015	18.77798758	7.939133445	17.06148082
2.195850359	18.82842171	7.972832487	17.20778064
2.25332767	19.07186666	8.056515877	17.54772538
2.257588997	19.12247105	8.085325777	17.69506641
2.261126763	19.17341624	8.111667951	17.84256396
2.264009337	19.22487298	8.135554187	17.98997983
2.266304087	19.27702082	8.157017915	18.13706881
2.268067034	19.33003337	8.176109468	18.28359436
2.269351794	19.38408801	8.192899875	18.429322
2.270204271	19.43935463	8.207477029	18.57402683
2.270667458	19.49600946	8.219944663	18.71748474
2.270779743	19.55422002	8.230422954	18.85948785
