FLX	FLY	FRX	FRY
-2.785641073	16.97988212	2.981859109	15.32581391
-2.756652449	17.07886737	3.009112762	15.41876149
-2.728984449	17.17496337	3.036780762	15.51485749
-2.702737073	17.26820012	3.064763109	15.61413191
-2.677993477	17.35861681	3.092947824	15.71659474
-2.654828972	17.44625149	3.121212213	15.82226004
-2.633300173	17.53115352	3.149422819	15.93111764
-2.613447681	17.61337699	3.177440343	16.04314901
-2.595297871	17.69298747	3.205114462	16.15831592
-2.578868991	17.77004679	3.232287246	16.27657325
-2.564162149	17.84462693	3.258799199	16.39786463
-2.551164773	17.91681218	3.284483816	16.52210592
-2.539856271	17.98668436	3.309174645	16.64921012
-2.530207293	18.05433374	3.332702597	16.77907391
-2.522176027	18.11986263	3.354901417	16.91157428
-2.51571413	18.18337488	3.375609867	17.04658045
-2.510767731	18.2449839	3.394668795	17.18393752
-2.50727526	18.30481279	3.411930152	17.32348344
-2.50517476	18.36298596	3.427253408	17.46504607
-2.504401267	18.41963425	3.440508957	17.60843612
-2.504884672	18.47490825	3.451582015	17.7534482
-2.506561447	18.5289521	3.460369401	17.89987638
-2.509364255	18.58192011	3.466788061	18.04750127
-2.513230169	18.63397488	3.470770231	18.19609452
-2.518101212	18.68528126	3.47226588	18.34542526
-2.523920124	18.73601696	3.471247348	18.49525362
-2.530638463	18.7863534	3.467704299	18.64534239
-2.53517789	19.03645015	3.464681836	18.99542247
-2.54356898	19.08653548	3.456143137	19.14531054
-2.552746057	19.13677281	3.445174099	19.29474055
-2.562683108	19.18734311	3.431847085	19.44348325
-2.573361243	19.23843741	3.4162532	19.59130967
-2.584768206	19.29023807	3.39850065	19.7380034
-2.596896487	19.34293038	3.378715721	19.88335498
-2.609744253	19.39668894	3.357038597	20.02716687
-2.62331138	19.45169733	3.333627303	20.16924979
-2.637605305	19.50812564	3.308646523	20.30943033
-2.65263007	19.56614327	3.282277613	20.44754601
-2.66839616	19.62590661	3.254703484	20.58345066
-2.684910731	19.68757308	3.226117853	20.71701035
-2.702179288	19.75129408	3.19672	20.84810181
-2.720205941	19.8172079	3.166708181	20.97662246
-2.738989963	19.88545108	3.13628426	21.10247729
-2.758527818	19.95614337	3.105642975	21.22559243
-2.778807329	20.02940726	3.074982152	21.34589832
-2.799808519	20.105349	3.044491842	21.46334506
-2.82150565	20.18406606	3.014353473	21.57789112
-2.843861649	20.26564437	2.984740491	21.68951132
-2.86682993	20.35016875	2.955820229	21.79818295
-2.890354416	20.43770701	2.927745208	21.90389826
-2.914367454	20.52832134	2.900658081	22.00665758
-2.938789245	20.62205233	2.874685286	22.10647609
-2.963529245	20.71894333	2.849945286	22.20336709
-2.988487454	20.81902034	2.826538081	22.29735658
-3.013550416	20.92229201	2.804549208	22.38848326
-3.03859593	21.02876675	2.784054229	22.47678095
-3.063491649	21.13842937	2.765110491	22.56229632
-3.08809765	21.25125906	2.747761473	22.64508412
-3.112264519	21.367212	2.732035842	22.72520806
-3.135837329	21.48624026	2.717952152	22.80273132
-3.158657818	21.60827637	2.705512975	22.87772543
-3.180561963	21.73324208	2.69471226	22.95026829
-3.201383941	21.8610379	2.685530181	23.02045246
-3.220961288	21.99155608	2.677938	23.08836381
-3.239130731	22.12466908	2.671897853	23.15410635
-3.25573416	22.26024061	2.667365484	23.21778466
-3.27061707	22.39811327	2.664290613	23.27951601
-3.283637305	22.53811864	2.662614523	23.33942333
-3.29465938	22.68008033	2.662279303	23.39763279
-3.303558253	22.82380394	2.663224597	23.45428187
-3.310226487	22.96908838	2.665385721	23.50951298
-3.314568206	23.11571507	2.66870065	23.5634804
-3.316505243	23.26346641	2.6731092	23.61633867
-3.315977108	23.41211211	2.678553085	23.66825225
-3.312942057	23.56142081	2.684978099	23.71938855
-3.30737898	23.71114848	2.692333137	23.76992354
-3.29928389	23.86106115	2.700575836	23.82003347
-3.288676463	24.0109134	2.709666299	23.86990239
-3.275594124	24.16047296	2.719573348	23.91970962
-3.260097212	24.30950126	2.73026988	23.96964526
-3.242264169	24.45777188	2.741736231	24.01989152
-3.222192255	24.60505711	2.753960061	24.07063827
-3.199997447	24.7511451	2.766933401	24.12206938
-3.175812672	24.89582825	2.780654015	24.1743682
-3.149783267	25.03891425	2.795126957	24.22771612
-3.12207076	25.18022496	2.810357408	24.28228507
-3.09284926	25.31958279	2.826356152	24.33825344
-3.062301731	25.4568339	2.843134795	24.39578752
-3.03061813	25.59183988	2.860705867	24.45504545
-2.997994027	25.72447063	2.879083417	24.51618228
-2.964633293	25.85460974	2.898276597	24.57934991
-2.930736271	25.98216136	2.918294645	24.64468712
-2.896506773	26.10703518	2.939141816	24.71232892
-2.862146149	26.22916193	2.960815199	24.78239963
-2.827848991	26.34848479	2.983307246	24.85501125
-2.793809871	26.46495247	3.006602462	24.93028092
-2.760209681	26.57853099	3.030678343	25.00830301
-2.727224173	26.68920152	3.055498819	25.08916564
-2.695020972	26.79694549	3.081020213	25.17295404
-2.663751477	26.90176081	3.107189824	25.25973874
-2.633559073	27.00365112	3.133941109	25.34958291
-2.604570449	27.10263637	3.161194762	25.44253049
-2.576902449	27.19873237	3.188862762	25.53862649
-2.550655073	27.29196812	3.216845109	25.63789991
-2.525911477	27.38238581	3.245029824	25.74036374
-2.502746972	27.47002049	3.273294213	25.84602904
-2.481218173	27.55492252	3.301504819	25.95488664
-2.461365681	27.63714599	3.329522343	26.06691801
-2.443215871	27.71675547	3.357196462	26.18208392
-2.426786991	27.79381579	3.384369246	26.30034225
-2.412080149	27.86839493	3.410881199	26.42163263
-2.399082773	27.94058018	3.436565816	26.54587392
-2.387774271	28.01045236	3.461256645	26.67297812
-2.378125293	28.07810274	3.484784597	26.80284291
-2.370094027	28.14363163	3.506983417	26.93534328
-2.36363213	28.20714288	3.527691867	27.07034845
-2.358685731	28.2687529	3.546750795	27.20770652
-2.35519326	28.32858179	3.564012152	27.34725244
-2.35309276	28.38675396	3.579335408	27.48881407
-2.352319267	28.44340325	3.592590957	27.63220512
-2.352802672	28.49867725	3.603664015	27.7772172
-2.354479447	28.5527211	3.612451401	27.92364538
-2.357282255	28.60568811	3.618870061	28.07126927
-2.361148169	28.65774288	3.622852231	28.21986252
-2.366019212	28.70905026	3.62434788	28.36919426
-2.371838124	28.75978596	3.623329348	28.51902262
-2.378557463	28.8101224	3.619785299	28.66911139
-2.38309589	29.06021915	3.616763836	29.01919147
-2.39148698	29.11030448	3.608225137	29.16907954
-2.400664057	29.16054081	3.597256099	29.31850855
-2.410601108	29.21111211	3.583929085	29.46725225
-2.421279243	29.26220641	3.5683352	29.61507867
-2.432686206	29.31400707	3.55058265	29.7617724
-2.444814487	29.36669838	3.530797721	29.90712298
-2.457662253	29.42045794	3.509120597	30.05093587
-2.47122938	29.47546633	3.485709303	30.19301879
-2.485523305	29.53189464	3.460728523	30.33319933
-2.50054907	29.58991127	3.434358613	30.47131401
-2.51631416	29.64967461	3.406785484	30.60721866
-2.532828731	29.71134108	3.378199853	30.74077835
-2.550097288	29.77506208	3.348802	30.87186981
-2.568123941	29.8409759	3.318790181	31.00039046
-2.586907963	29.90921908	3.28836626	31.12624529
-2.606445818	29.97991237	3.257724975	31.24936143
-2.626725329	30.05317626	3.227064152	31.36966732
-2.647726519	30.129117	3.196573842	31.48711306
-2.66942365	30.20783406	3.166435473	31.60165912
-2.691779649	30.28941237	3.136822491	31.71327932
-2.71474793	30.37393675	3.107902229	31.82195095
-2.738272416	30.46147601	3.079827208	31.92766726
-2.762285454	30.55208934	3.052740081	32.03042558
-2.786707245	30.64582133	3.026767286	32.13024509
-2.811447245	30.74271233	3.002027286	32.22713609
-2.836405454	30.84278934	2.978620081	32.32112558
-2.861468416	30.94606101	2.956631208	32.41225226
-2.88651393	31.05253475	2.936136229	32.50054895
-2.911409649	31.16219837	2.917192491	32.58606532
-2.93601565	31.27502806	2.899843473	32.66885312
-2.960182519	31.390981	2.884117842	32.74897706
-2.983755329	31.51000926	2.870034152	32.82650032
-3.006575818	31.63204537	2.857594975	32.90149443
-3.028479963	31.75701108	2.84679426	32.97403729
-3.049301941	31.8848059	2.837612181	33.04422046
-3.068879288	32.01532408	2.83002	33.11213181
-3.087048731	32.14843708	2.823979853	33.17787435
-3.10365216	32.28400861	2.819447484	33.24155266
-3.11853607	32.42188127	2.816371613	33.30328401
-3.131555305	32.56188764	2.814696523	33.36319233
-3.14257738	32.70384833	2.814361303	33.42140079
-3.151476253	32.84757294	2.815306597	33.47805087
-3.158144487	32.99285638	2.817467721	33.53328098
-3.162486206	33.13948407	2.82078265	33.5872494
-3.164423243	33.28723541	2.8251912	33.64010767
-3.163895108	33.43588111	2.830635085	33.69202125
-3.160860057	33.58518881	2.837060099	33.74315655
-3.15529698	33.73491748	2.844415137	33.79369254
-3.14720189	33.88482915	2.852657836	33.84380147
-3.136594463	34.0346824	2.861748299	33.89367139
-3.123512124	34.18424196	2.871655348	33.94347862
-3.108015212	34.33327026	2.88235188	33.99341426
-3.090182169	34.48153988	2.893818231	34.04365952
-3.070110255	34.62882511	2.906042061	34.09440627
-3.047916447	34.7749131	2.919014401	34.14583738
-3.023730672	34.91959725	2.932736015	34.1981372
-2.997701267	35.06268325	2.947208957	34.25148512
-2.96998876	35.20399296	2.962439408	34.30605307
-2.94076826	35.34335179	2.978437152	34.36202244
-2.910219731	35.4806029	2.995216795	34.41955652
-2.87853613	35.61560888	3.012787867	34.47881445
-2.845912027	35.74823963	3.031165417	34.53995128
-2.812551293	35.87837874	3.050358597	34.60311891
-2.778654271	36.00593036	3.070376645	34.66845612
-2.744425773	36.13080418	3.091222816	34.73609792
-2.710064149	36.25292993	3.112897199	34.80616763
-2.675766991	36.37225379	3.135389246	34.87878025
-2.641727871	36.48872047	3.158684462	34.95404892
-2.608127681	36.60229999	3.182760343	35.03207201
-2.575143173	36.71297052	3.207579819	35.11293464
-2.542938972	36.82071449	3.233102213	35.19672304
-2.511669477	36.92552981	3.259271824	35.28350774
-2.481477073	37.02742012	3.286023109	35.37335191
-2.452488449	37.12640437	3.313276762	35.46629849
-2.424820449	37.22250037	3.340944762	35.56239449
-2.398573073	37.31573712	3.368927109	35.66166891
-2.373829477	37.40615481	3.397111824	35.76413274
-2.350665972	37.49378849	3.425375213	35.86979704
-2.329136173	37.57869152	3.453586819	35.97865564
-2.309283681	37.66091499	3.481604343	36.09068701
-2.291133871	37.74052447	3.509278462	36.20585292
-2.274704991	37.81758479	3.536451246	36.32411125
-2.259998149	37.89216393	3.562963199	36.44540163
-2.247000773	37.96434918	3.588647816	36.56964292
-2.235692271	38.03422136	3.613338645	36.69674712
-2.226043293	38.10187074	3.636866597	36.82661091
-2.218012027	38.16740063	3.659065417	36.95911228
